City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Bredasdorp,ZA,2021-04-06 21:28:30,-34.5322,20.0403,57.2,94,67,1.14
89,Tuy Hoa,VN,2021-04-06 21:29:06,13.0833,109.3,73.58,92,89,3.38
90,Gornopravdinsk,RU,2021-04-06 21:29:06,60.05,69.9,30.81,95,100,10.49
91,Kaitangata,NZ,2021-04-06 21:28:39,-46.2817,169.8464,59.0,74,100,8.99
92,Saldanha,ZA,2021-04-06 21:25:53,-33.0117,17.9442,62.6,63,4,4.61
93,Tuka,PH,2021-04-06 21:29:06,6.52,124.585,74.19,87,99,0.85
94,Codrington,AU,2021-04-06 21:26:48,-38.2667,141.9667,50.81,93,19,6.33
95,Mataura,NZ,2021-04-06 21:28:20,-46.1927,168.8643,54.0,85,100,4.0
96,Shakiso,ET,2021-04-06 21:24:24,5.75,38.9167,59.05,95,16,2.44
97,Talnakh,RU,2021-04-06 21:29:07,69.4865,88.3972,25.7,97,100,2.8
98,Georgetown,MY,2021-04-06 21:25:11,5.4112,100.3354,79.0,94,20,2.3
99,Santa Clara,CU,2021-04-06 21:29:08,22.4,-79.9667,78.8,61,75,19.57
100,Tasiilaq,GL,2021-04-06 21:25:36,65.6145,-37.6368,21.2,93,100,20.71
101,Ancud,CL,2021-04-06 21:25:54,-41.8697,-73.8203,60.01,82,75,10.36
102,Lompoc,US,2021-04-06 21:29:08,34.6391,-120.4579,61.0,67,92,19.57
103,Kahului,US,2021-04-06 21:25:42,20.8947,-156.47,75.2,69,40,16.11
104,Kasongo,CD,2021-04-06 21:29:09,-4.45,26.6667,70.12,95,82,2.08
105,Havre-Saint-Pierre,CA,2021-04-06 21:29:09,50.2334,-63.5986,50.0,71,90,19.57
106,Ambulu,ID,2021-04-06 21:29:09,-8.345,113.6058,75.33,92,100,2.33
107,Gao,ML,2021-04-06 21:29:10,16.6362,1.637,87.01,7,35,9.6
108,Inirida,CO,2021-04-06 21:29:10,3.8653,-67.9239,77.4,92,86,3.33
109,Bardiyah,LY,2021-04-06 21:29:10,31.7561,25.0865,60.19,84,55,14.61
110,New Norfolk,AU,2021-04-06 21:29:11,-42.7826,147.0587,53.01,81,56,2.37
111,Moose Factory,CA,2021-04-06 21:28:15,51.2585,-80.6094,41.0,81,90,2.3
112,Alofi,NU,2021-04-06 21:26:41,-19.0595,-169.9187,82.4,78,40,5.75
113,Fort-Shevchenko,KZ,2021-04-06 21:29:11,44.5086,50.263,46.0,68,0,7.74
114,Kamsack,CA,2021-04-06 21:29:12,51.5667,-101.9009,60.8,21,1,11.5
115,Anzio,IT,2021-04-06 21:29:12,41.4853,12.6179,55.0,69,29,1.99
116,Tessalit,ML,2021-04-06 21:29:12,20.1986,1.0114,82.31,5,0,8.14
117,Omboue,GA,2021-04-06 21:28:34,-1.5746,9.2618,77.79,91,100,4.65
118,Gisborne,NZ,2021-04-06 21:29:13,-38.6533,178.0042,63.0,86,33,5.01
119,Belaya Gora,RU,2021-04-06 21:29:13,68.5333,146.4167,-11.87,97,100,1.5
120,Voznesenye,RU,2021-04-06 21:29:13,61.0106,35.4781,31.15,78,23,11.18
121,Izvestkovyy,RU,2021-04-06 21:29:14,48.9833,131.55,19.18,60,76,11.14
122,Clyde River,CA,2021-04-06 21:27:51,70.4692,-68.5914,12.2,67,20,13.8
