City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Bud,US,39.447,-86.1758,61.0,95,99,13.91,heavy intensity rain
284,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,94,75,17.81,broken clouds
285,Kamaishi,JP,39.2667,141.8833,39.0,67,5,5.97,clear sky
286,Iqaluit,CA,63.7506,-68.5145,23.0,74,90,13.8,overcast clouds
287,Port Lincoln,AU,-34.7333,135.8667,58.05,63,95,14.88,overcast clouds
288,Erenhot,CN,43.6475,111.9767,50.67,57,76,3.58,broken clouds
289,Nowshera,PK,34.0058,71.9977,75.2,33,40,16.11,haze
290,Lovington,US,32.944,-103.3485,63.0,18,2,5.99,clear sky
291,Bilma,NE,18.6853,12.9164,92.12,5,54,10.45,broken clouds
292,Cherskiy,RU,68.75,161.3,-25.56,94,98,2.01,overcast clouds
293,Dingle,PH,10.9995,122.6711,75.54,82,57,5.59,broken clouds
294,Caravelas,BR,-17.7125,-39.2481,81.73,61,26,8.21,scattered clouds
295,Toamasina,MG,-18.1667,49.3833,78.8,89,40,3.44,light rain
296,Morondava,MG,-20.2833,44.2833,79.88,77,66,9.4,broken clouds
297,Ust-Karsk,RU,52.7011,118.8077,25.0,45,72,3.58,broken clouds
298,Camocim,BR,-2.9022,-40.8411,82.08,79,82,12.37,broken clouds
299,Providencia,MX,28.7167,-111.5833,82.99,41,25,8.01,scattered clouds
300,Singaraja,ID,-8.112,115.0882,78.82,82,6,3.65,clear sky
301,Plettenberg Bay,ZA,-34.0527,23.3716,62.17,90,100,3.27,overcast clouds
302,Carnarvon,AU,-24.8667,113.6333,77.0,83,97,13.8,overcast clouds
303,Okha,RU,53.5739,142.9478,25.79,88,11,11.3,few clouds
304,Araguari,BR,-18.6472,-48.1872,78.8,38,20,8.05,few clouds
305,Meulaboh,ID,4.1363,96.1285,78.01,86,93,2.37,overcast clouds
306,Rafai,CF,4.95,23.9167,77.49,68,99,4.76,overcast clouds
307,Srednekolymsk,RU,67.45,153.6833,-13.72,97,100,6.91,overcast clouds
308,Olinda,BR,-8.0089,-34.8553,78.8,83,75,6.91,light rain
309,Isangel,VU,-19.55,169.2667,77.18,91,100,15.7,overcast clouds
310,Hasaki,JP,35.7333,140.8333,41.0,87,20,6.91,few clouds
311,Padang,ID,-0.9492,100.3543,77.0,94,40,2.3,scattered clouds
312,Port Moresby,PG,-9.4431,147.1797,75.2,100,40,5.75,scattered clouds
313,Pacific Grove,US,36.6177,-121.9166,54.0,62,90,9.22,overcast clouds
314,Constitucion,CL,-35.3333,-72.4167,63.41,56,0,12.88,clear sky
315,Carauari,BR,-4.8828,-66.8958,86.07,68,100,2.48,overcast clouds
316,Kavaratti,IN,10.5669,72.642,82.99,72,0,9.42,clear sky
317,Nouadhibou,MR,20.931,-17.0347,75.2,57,33,23.02,sand
318,San Andres,CO,12.5847,-81.7006,86.0,70,75,16.11,broken clouds
319,Mangrol,IN,21.1167,70.1167,79.84,68,0,13.22,clear sky
320,Sevsk,RU,52.1491,34.4926,41.72,55,2,5.66,clear sky
321,Okato,NZ,-39.2,173.8833,61.0,97,46,3.0,scattered clouds
322,Alugan,PH,12.2188,125.4808,78.71,81,99,10.07,overcast clouds
323,San Cristobal,VE,7.7669,-72.225,84.2,54,40,23.02,scattered clouds
324,Tatarsk,RU,55.219,75.9828,33.01,90,100,6.42,overcast clouds
325,Derzhavinsk,KZ,51.1,66.3167,33.8,88,39,12.66,scattered clouds
326,Half Moon Bay,US,37.4636,-122.4286,60.01,71,1,9.22,haze
327,Pisco,PE,-13.7,-76.2167,73.99,64,0,9.22,clear sky
328,Jalu,LY,29.0331,21.5482,64.92,21,59,9.55,broken clouds
329,Dawson,US,31.7735,-84.4466,68.0,94,90,8.05,moderate rain
330,Iwaki,JP,37.05,140.8833,27.0,94,7,4.85,clear sky
331,Topolobampo,MX,25.6,-109.05,75.2,64,40,9.22,scattered clouds
332,Ojinaga,MX,29.5667,-104.4167,77.0,19,1,4.61,clear sky
333,Fortuna,US,40.5982,-124.1573,55.0,62,20,11.5,few clouds
