City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Jacksonville,US,86.0,broken clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
376,Bumba,CD,76.8,overcast clouds,2.1833,22.4667,Hôtel Cape Town
378,Luanda,AO,86.0,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
379,Pontianak,ID,77.0,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
382,Upington,ZA,82.4,clear sky,-28.4478,21.2561,River Place Manor
384,Conakry,GN,87.8,clear sky,9.538,-13.6773,Riviera Royal Hotel
388,Abu Dhabi,AE,86.0,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
389,Dorado,PR,82.99,scattered clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
393,Naifaru,MV,83.61,scattered clouds,5.4444,73.3657,Naifaru Residence Guest House
394,Waingapu,ID,76.42,clear sky,-9.6567,120.2641,Pondok Wisata Elim
397,San Patricio,US,82.4,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
400,Sumbe,AO,80.76,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
401,Corn Island,NI,80.56,broken clouds,12.1694,-83.0418,Big Fish Guest House
402,Labuhan,ID,78.37,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
403,Kuala Terengganu,MY,80.6,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
404,Jaynagar-Majilpur,IN,82.4,haze,22.1758,88.4178,Joychaditala Sarbojanin Durgostob
408,Basoko,CD,76.37,light rain,1.2391,23.616,Flat Hotel La Benediction
412,Gigmoto,PH,76.75,overcast clouds,13.7796,124.39,Cj's Travellers Inn
413,Marigot,MF,84.2,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
421,Marilia,BR,86.0,clear sky,-22.2139,-49.9458,Hotel Tenda
425,Roebourne,AU,83.21,overcast clouds,-20.7833,117.1333,Harding River Caravan Park
427,Coahuayana,MX,84.2,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
428,Salinopolis,BR,84.07,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
434,Zamora,EC,82.4,moderate rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
435,Harper,LR,82.35,overcast clouds,4.375,-7.7169,Screensaver
436,Carutapera,BR,83.97,light rain,-1.195,-46.02,Lidera
437,Cayenne,GF,84.2,light rain,4.9333,-52.3333,Hôtel Le Dronmi
439,Chon Daen,TH,84.74,scattered clouds,16.1895,100.8596,ซับขลุง
442,Sainte-Rose,GP,82.4,scattered clouds,16.3324,-61.6979,Villa - Duzer
445,Sambava,MG,77.41,light rain,-14.2667,50.1667,Melrose
448,Sorong,ID,78.67,overcast clouds,-0.8833,131.25,waigo splash hotel
452,Mayumba,GA,78.19,overcast clouds,-3.432,10.6554,LIKWALE LODGE
453,Imbituba,BR,87.8,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
460,Buraydah,SA,84.2,clear sky,26.326,43.975,فندق راحة السلام
461,Trindade,BR,82.4,scattered clouds,-16.6494,-49.4889,Pousada Central
464,San Vicente,AR,87.98,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
465,Pastos Bons,BR,89.31,overcast clouds,-6.6017,-44.0767,Área de lazer casa (Pucina)
469,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
470,The Valley,AI,84.2,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
471,Vila Velha,BR,81.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
473,Sao Jose Da Coroa Grande,BR,80.49,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
474,Nan,TH,76.51,broken clouds,18.8333,100.6667,สะเนียน2
477,Foso,GH,83.52,light rain,5.7012,-1.2866,Pristina Cottage
478,Inhambane,MZ,77.0,few clouds,-23.865,35.3833,Oceano
480,Saint Andrews,US,75.99,overcast clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
484,Gambela,ET,86.63,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
487,Bonthe,SL,84.29,broken clouds,7.5264,-12.505,Bonthe Holiday Village
490,Namatanai,PG,78.37,light rain,-3.6667,152.4333,Namatanai Hotel
492,High Rock,BS,76.08,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
493,Buala,SB,78.85,light rain,-8.145,159.5921,Maringe Lagoon Lodge
510,Urucara,BR,87.19,broken clouds,-2.5364,-57.76,Hotel japa
516,Maragogi,BR,80.4,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
522,Oistins,BB,80.6,volcanic ash,13.0667,-59.5333,Butterfly Beach Hotel
525,Hobyo,SO,83.03,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
530,Tual,ID,82.89,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
531,Kuah,MY,77.0,few clouds,6.3265,99.8432,Azio Hotel
541,Bobbili,IN,79.39,scattered clouds,18.5667,83.3667,Sri vijayalaxmi mess
